,property,price_range,location,property_link,agency,unit,unit_price,unit_info
33,Appartements et Penthouses dans programme neuf à Luxembourg,"€ 565,690 - € 2,695,900",Luxembourg,https://www.immotop.lu/annonces/155719/63269/,Venice Consulting SA,"Appartement 1 chambre route d'Arlon, Belair, Luxembourg","€ 889,440","{'chambre/pièce': '1', 'superficie': '65\n m²', 'salle de bain': '1', 'étage': '4'}"
34,Appartements et Penthouses dans programme neuf à Luxembourg,"€ 565,690 - € 2,695,900",Luxembourg,https://www.immotop.lu/annonces/155719/62745/,Venice Consulting SA,"Appartement 2 chambres route d'Arlon, Belair, Luxembourg","€ 924,400","{'chambres/pièces': '2', 'superficie': '79\n m²', 'salle de bain': '1', 'étage': '1'}"
35,Appartements et Penthouses dans programme neuf à Luxembourg,"€ 565,690 - € 2,695,900",Luxembourg,https://www.immotop.lu/annonces/155719/62773/,Venice Consulting SA,"Appartement 2 chambres route d'Arlon, Belair, Luxembourg","€ 937,922","{'chambres/pièces': '2', 'superficie': '79\n m²', 'salle de bain': '1', 'étage': '2'}"
36,Appartements et Penthouses dans programme neuf à Luxembourg,"€ 565,690 - € 2,695,900",Luxembourg,https://www.immotop.lu/annonces/155719/62855/,Venice Consulting SA,"Appartement 1 chambre route d'Arlon, Belair, Luxembourg","€ 945,260","{'chambre/pièce': '1', 'superficie': '70\n m²', 'salle de bain': '1', 'étage': '1'}"
37,Appartements et Penthouses dans programme neuf à Luxembourg,"€ 565,690 - € 2,695,900",Luxembourg,https://www.immotop.lu/annonces/155719/62825/,Venice Consulting SA,"Appartement 2 chambres route d'Arlon, Belair, Luxembourg","€ 953,724","{'chambres/pièces': '2', 'superficie': '79\n m²', 'salle de bain': '1', 'étage': '3'}"
38,Appartements et Penthouses dans programme neuf à Luxembourg,"€ 565,690 - € 2,695,900",Luxembourg,https://www.immotop.lu/annonces/155719/62997/,Venice Consulting SA,"Appartement 1 chambre route d'Arlon, Belair, Luxembourg","€ 958,864","{'chambre/pièce': '1', 'superficie': '70\n m²', 'salle de bain': '1', 'étage': '2'}"
39,Appartements et Penthouses dans programme neuf à Luxembourg,"€ 565,690 - € 2,695,900",Luxembourg,https://www.immotop.lu/annonces/155719/62721/,Venice Consulting SA,"Appartement 2 chambres route d'Arlon, Belair, Luxembourg","€ 1,029,975","{'chambres/pièces': '2', 'superficie': '77\n m²', 'salle de bain': '1', 'étage': '1'}"
40,Appartements et Penthouses dans programme neuf à Luxembourg,"€ 565,690 - € 2,695,900",Luxembourg,https://www.immotop.lu/annonces/155719/62757/,Venice Consulting SA,"Appartement 2 chambres route d'Arlon, Belair, Luxembourg","€ 1,045,271","{'chambres/pièces': '2', 'superficie': '77\n m²', 'salle de bain': '1', 'étage': '2'}"
41,Appartements et Penthouses dans programme neuf à Luxembourg,"€ 565,690 - € 2,695,900",Luxembourg,https://www.immotop.lu/annonces/155719/62733/,Venice Consulting SA,"Appartement 2 chambres route d'Arlon, Belair, Luxembourg","€ 1,195,760","{'chambres/pièces': '2', 'superficie': '89\n m²', 'salle de bain': '1', 'étage': '1'}"
42,Appartements et Penthouses dans programme neuf à Luxembourg,"€ 565,690 - € 2,695,900",Luxembourg,https://www.immotop.lu/annonces/155719/62789/,Venice Consulting SA,"Appartement 2 chambres route d'Arlon, Belair, Luxembourg","€ 1,213,575","{'chambres/pièces': '2', 'superficie': '89\n m²', 'salle de bain': '1', 'étage': '2'}"
