,Property,Price_Range,Location,Agency,Unit,Unit_Price (euro),Rooms,Area (squared meter),Bathrooms,Stage
81,"Appartement 2 chambres rez-de-chaussée, Kirchberg, Luxembourg","€ 2,400/mois",Luxembourg,Immostep sarl,"Appartement 2 chambres rez-de-chaussée, Kirchberg, Luxembourg",2400,2,89,1,T
82,"Penthouse 87 m² avec terrasse, Hollerich, Luxembourg","€ 2,650/mois",Luxembourg,Immostep sarl,"Penthouse 87 m² avec terrasse, Hollerich, Luxembourg",2650,3,87,,7
83,"Appartement 1 chambre 19 rue Gewaennchen, Fentange, Hesperange","€ 1,520/mois",Hesperange,D2 Immo,"Appartement 1 chambre 19 rue Gewaennchen, Fentange, Hesperange",1520,1,67,1,T
84,"Appartement 1 chambre boulevard Royal, septième étage, Ville Haute, Luxembourg","€ 1,770/mois",Luxembourg,D2 Immo,"Appartement 1 chambre boulevard Royal, septième étage, Ville Haute, Luxembourg",1770,1,52,1,7
85,"Maison individuelle 120 m², Pétange, Pétange","€ 1,850/mois",Pétange,ImmoLorena,"Maison individuelle 120 m², Pétange, Pétange",1850,3,120,1,
86,"Appartement 1 chambre Rte d'Arlon, Belair, Luxembourg","€ 1,900/mois",Luxembourg,Agence ImmoFlash Luxembourg,"Appartement 1 chambre Rte d'Arlon, Belair, Luxembourg",1900,1,68,1,1
87,"Maison individuelle rue des Roses, Limpertsberg, Luxembourg","€ 6,000/mois",Luxembourg,property*,"Maison individuelle rue des Roses, Limpertsberg, Luxembourg",6000,5,300,1,
88,"Appartement 1 chambre route de Mondorf, Wellenstein, Schengen","€ 1,390/mois",Schengen,Primo Gérances S.à r.l.,"Appartement 1 chambre route de Mondorf, Wellenstein, Schengen",1390,1,63,1,T
89,"Penthouse excellent état, 90 m², Hollerich, Luxembourg","€ 2,650/mois",Luxembourg,Immo & Co,"Penthouse excellent état, 90 m², Hollerich, Luxembourg",2650,2,90,2,T
90,"Appartement 1 chambre 11 Boulevard du Jazz, Al-Esch, Esch-sur-Alzette","€ 1,500/mois",Esch-sur-Alzette,GENIMMO GESTION,"Appartement 1 chambre 11 Boulevard du Jazz, Al-Esch, Esch-sur-Alzette",1500,1,69,1,3
91,"Appartement 1 chambre deuxième étage, Al-Esch, Esch-sur-Alzette","€ 1,400/mois",Esch-sur-Alzette,EUROPROM S.A.,"Appartement 1 chambre deuxième étage, Al-Esch, Esch-sur-Alzette",1400,1,60,,2
92,"Appartement 1 chambre 279, rue de neudorf, Neudorf-Weimershof, Luxembourg","€ 1,700/mois",Luxembourg,L'Agence,"Appartement 1 chambre 279, rue de neudorf, Neudorf-Weimershof, Luxembourg",1700,1,58,2,T
93,"Duplex à louer, Limpertsberg","€ 2,800/mois",Luxembourg,L'Agence,"Duplex à louer, Limpertsberg",2800,2,105,2,
94,"Appartement 2 chambres neuf, premier étage, Mertzig, Mertzig","€ 1,550/mois",Mertzig,B IMMOBILIER,"Appartement 2 chambres neuf, premier étage, Mertzig, Mertzig",1550,2,76,1,1
95,"Appartement 1 chambre 154 Rte de Thionville - ID6, 2610 Luxembourg, Bonnevoie-Verlorenkost, Luxembourg","€ 1,870/mois",Luxembourg,Blueground,"Appartement 1 chambre 154 Rte de Thionville - ID6, 2610 Luxembourg, Bonnevoie-Verlorenkost, Luxembourg",1870,1,30,1,2
96,"Appartement 1 chambre excellent état, deuxième étage, Bridel, Kopstal","€ 1,450/mois",Kopstal,New Immo,"Appartement 1 chambre excellent état, deuxième étage, Bridel, Kopstal",1450,1,75,1,2
97,"Appartement 2 chambres premier étage, Hesperange, Howald, Hesperange","€ 1,850/mois",Hesperange,New Immo,"Appartement 2 chambres premier étage, Hesperange, Howald, Hesperange",1850,2,86,1,1
98,"Appartement 2 chambres deuxième étage, Belair, Luxembourg","€ 2,990/mois",Luxembourg,New Immo,"Appartement 2 chambres deuxième étage, Belair, Luxembourg",2990,2,94,1,2
