,property,price_range,location,property_link,agency,unit,unit_price,unit_info
29,"Appartement 2 chambres 231 rue du kichberg, Kirchberg, Luxembourg","€ 2,150/mois",Luxembourg,https://www.immotop.lu/annonces/370887/,BUREAU COMPTABLE FISCAL ET IMMOBILIER Nico Becker,"Appartement 2 chambres 231 rue du kichberg, Kirchberg, Luxembourg","€ 2,150/mois","{'chambres/pièces': '2', 'superficie': '93\n m²', 'salle de bain': '1', 'étage': '1'}"
30,"Penthouse 7, rue JP Sauvage, Kirchberg, Luxembourg","€ 5,400/mois",Luxembourg,https://www.immotop.lu/annonces/165319/,IMMO FRANK,"Penthouse 7, rue JP Sauvage, Kirchberg, Luxembourg","€ 5,400/mois","{'chambres/pièces': '3', 'superficie': '229\n m²', 'salle de bain': '1', 'étage': '9'}"
31,"Appartement 1 chambre 9 rue de l'Hôpital, Echternach, Echternach","€ 2,390/mois",Echternach,https://www.immotop.lu/annonces/37409/,Senior Hotel Echternach,"Appartement 1 chambre 9 rue de l'Hôpital, Echternach, Echternach","€ 2,390/mois","{'chambre/pièce': '1', 'superficie': '43\n m²', 'salle de bain': '1', 'étage': 'T'}"
32,"Maison jumelée / mitoyenne Dicks-Lentz, Oberkorn, Differdange","€ 2,400/mois",Differdange,https://www.immotop.lu/annonces/155655/,Venice Consulting SA,"Maison jumelée / mitoyenne Dicks-Lentz, Oberkorn, Differdange","€ 2,400/mois","{'chambres/pièces': '3', 'superficie': '120\n m²', 'salles de bain': '2'}"
33,"Appartement 2 chambres premier étage, Roeser, Roeser","€ 2,050/mois",Roeser,https://www.immotop.lu/annonces/441787/,Venice Consulting SA,"Appartement 2 chambres premier étage, Roeser, Roeser","€ 2,050/mois","{'chambres/pièces': '2', 'superficie': '96\n m²', 'salle de bain': '1', 'étage': '1'}"
34,"Appartement 2 chambres rez-de-chaussée, Ville Haute, Luxembourg","€ 2,150/mois",Luxembourg,https://www.immotop.lu/annonces/458097/,LA immo Sàrl,"Appartement 2 chambres rez-de-chaussée, Ville Haute, Luxembourg","€ 2,150/mois","{'chambres/pièces': '2', 'superficie': '95\n m²', 'salle de bain': '1', 'étage': 'T'}"
35,"Penthouse neuf, 154 m², Wiltz, Wiltz","€ 2,600/mois",Wiltz,https://www.immotop.lu/annonces/463107/,Laforêt Capital,"Penthouse neuf, 154 m², Wiltz, Wiltz","€ 2,600/mois","{'chambres/pièces': '3', 'superficie': '154\n m²', 'salles de bain': '2', 'étage': 'T'}"
36,"Appartement 1 chambre rez-de-chaussée, Belvaux, Sanem",€ 950/mois,Sanem,https://www.immotop.lu/annonces/199861/,IMMO MAIN NASCHT SARL,"Appartement 1 chambre rez-de-chaussée, Belvaux, Sanem",€ 950/mois,"{'chambre/pièce': '1', 'superficie': '48\n m²', 'salle de bain': '1', 'étage': 'T'}"
37,"Appartement 1 chambre excellent état, quatrième étage, Limpertsberg, Luxembourg","€ 2,400/mois",Luxembourg,https://www.immotop.lu/annonces/477359/,FMI IMMOBILIER,"Appartement 1 chambre excellent état, quatrième étage, Limpertsberg, Luxembourg","€ 2,400/mois","{'chambre/pièce': '1', 'superficie': '40\n m²', 'étage': '4'}"
38,"Appartement excellent état, rez-de-chaussée, Limpertsberg, Luxembourg","€ 2,600/mois",Luxembourg,https://www.immotop.lu/annonces/477367/,FMI IMMOBILIER,"Appartement excellent état, rez-de-chaussée, Limpertsberg, Luxembourg","€ 2,600/mois","{'superficie': '40\n m²', 'étage': 'T'}"
39,"Appartement 1 chambre excellent état, deuxième étage, Limpertsberg, Luxembourg","€ 2,600/mois",Luxembourg,https://www.immotop.lu/annonces/477373/,FMI IMMOBILIER,"Appartement 1 chambre excellent état, deuxième étage, Limpertsberg, Luxembourg","€ 2,600/mois","{'chambre/pièce': '1', 'superficie': '40\n m²', 'salle de bain': '1', 'étage': '2'}"
40,"Appartement 1 chambre excellent état, septième étage, Gare, Luxembourg","€ 2,640/mois",Luxembourg,https://www.immotop.lu/annonces/441407/,FMI IMMOBILIER,"Appartement 1 chambre excellent état, septième étage, Gare, Luxembourg","€ 2,640/mois","{'chambre/pièce': '1', 'superficie': '53\n m²', 'étage': '7'}"
41,"Studio à louer, Gare","€ 1,350/mois",Luxembourg,https://www.immotop.lu/annonces/471967/,FMI IMMOBILIER,"Studio à louer, Gare","€ 1,350/mois",{'superficie': '33\n m²'}
42,"Studio à louer, Ville Haute","€ 1,550/mois",Luxembourg,https://www.immotop.lu/annonces/471955/,FMI IMMOBILIER,"Studio à louer, Ville Haute","€ 1,550/mois",{'chambre/pièce': '1'}
43,"Appartement 2 chambres neuf, rez-de-chaussée, Hellange, Frisange","€ 2,100/mois",Frisange,https://www.immotop.lu/annonces/472099/,FMI IMMOBILIER,"Appartement 2 chambres neuf, rez-de-chaussée, Hellange, Frisange","€ 2,100/mois","{'chambres/pièces': '2', 'superficie': '70\n m²', 'étage': 'T'}"
44,"Appartement 1 chambre rez-de-chaussée, Hesperange, Howald, Hesperange","€ 1,950/mois",Hesperange,https://www.immotop.lu/annonces/472985/,FMI IMMOBILIER,"Appartement 1 chambre rez-de-chaussée, Hesperange, Howald, Hesperange","€ 1,950/mois","{'chambre/pièce': '1', 'superficie': '70\n m²', 'étage': 'T'}"
45,"Appartement 1 chambre excellent état, deuxième étage, Limpertsberg, Luxembourg","€ 2,700/mois",Luxembourg,https://www.immotop.lu/annonces/52719/,FMI IMMOBILIER,"Appartement 1 chambre excellent état, deuxième étage, Limpertsberg, Luxembourg","€ 2,700/mois","{'chambre/pièce': '1', 'superficie': '40\n m²', 'salle de bain': '1', 'étage': '2'}"
46,"Appartement 1 chambre excellent état, deuxième étage, Limpertsberg, Luxembourg","€ 2,600/mois",Luxembourg,https://www.immotop.lu/annonces/295233/,FMI IMMOBILIER,"Appartement 1 chambre excellent état, deuxième étage, Limpertsberg, Luxembourg","€ 2,600/mois","{'chambre/pièce': '1', 'superficie': '40\n m²', 'salle de bain': '1', 'étage': '2'}"
47,"Appartement premier étage, Roeser, Roeser","€ 1,700/mois",Roeser,https://www.immotop.lu/annonces/456757/,FIORE IMMO,"Appartement premier étage, Roeser, Roeser","€ 1,700/mois","{'superficie': '77\n m²', 'étage': '1'}"
48,"Appartement premier étage, Bivange, Kockelscheuer, Roeser","€ 1,700/mois",Roeser,https://www.immotop.lu/annonces/456759/,FIORE IMMO,"Appartement premier étage, Bivange, Kockelscheuer, Roeser","€ 1,700/mois","{'superficie': '77\n m²', 'étage': '1'}"
49,"Appartement 2 chambres deuxième étage, Steinsel, Steinsel","€ 1,650/mois",Steinsel,https://www.immotop.lu/annonces/476437/,FISCHBACH Realtors & Developers S.A.,"Appartement 2 chambres deuxième étage, Steinsel, Steinsel","€ 1,650/mois","{'chambres/pièces': '2', 'superficie': '87\n m²', 'étage': '2'}"
50,"Maison individuelle 199 m², Ettelbrück, Ettelbruck","€ 2,500/mois",Ettelbruck,https://www.immotop.lu/annonces/448103/,RE/MAX Premium,"Maison individuelle 199 m², Ettelbrück, Ettelbruck","€ 2,500/mois","{'chambres/pièces': '4', 'superficie': '199\n m²', 'salles de bain': '2'}"
51,"Maison individuelle 130 m², Al-Esch, Esch-sur-Alzette","€ 2,000/mois",Esch-sur-Alzette,https://www.immotop.lu/annonces/456985/,COLLINI WELTER Immobilière S.à.r.l.,"Maison individuelle 130 m², Al-Esch, Esch-sur-Alzette","€ 2,000/mois","{'chambres/pièces': '3', 'superficie': '130\n m²'}"
52,"Studio à louer, Belval","€ 1,150/mois",Esch-sur-Alzette,https://www.immotop.lu/annonces/475637/,COLLINI WELTER Immobilière S.à.r.l.,"Studio à louer, Belval","€ 1,150/mois","{'chambre/pièce': '1', 'superficie': '40\n m²', 'salle de bain': '1'}"
53,"Appartement 1 chambre troisième étage, Grevenmacher","€ 1,100/mois",Grevenmacher,https://www.immotop.lu/annonces/410977/,ACE IMMO,"Appartement 1 chambre troisième étage, Grevenmacher","€ 1,100/mois","{'chambre/pièce': '1', 'superficie': '94\n m²', 'étage': '3'}"
54,"Villa indépendante 300 m², Diekirch, Diekirch","€ 3,000/mois",Diekirch,https://www.immotop.lu/annonces/395589/,Immobilière Paul Reinig,"Villa indépendante 300 m², Diekirch, Diekirch","€ 3,000/mois","{'chambres/pièces': '3', 'superficie': '300\n m²', 'salles de bain': '2'}"
55,"Studio à louer, Hesperange, Howald","€ 1,500/mois",Hesperange,https://www.immotop.lu/annonces/475843/,RE/MAX SWEET HOME,"Studio à louer, Hesperange, Howald","€ 1,500/mois","{'superficie': '31\n m²', 'salle de bain': '1'}"
56,"Appartement 2 chambres rue Ferdinand Kuhn, Hesperange, Howald, Hesperange","€ 1,700/mois",Hesperange,https://www.immotop.lu/annonces/472137/,LOGILUX Immobilier SARL,"Appartement 2 chambres rue Ferdinand Kuhn, Hesperange, Howald, Hesperange","€ 1,700/mois","{'chambres/pièces': '2', 'superficie': '100\n m²', 'salle de bain': '1', 'étage': '1'}"
57,"Maison individuelle rue des Jardins, Clemency, Käerjeng","€ 2,300/mois",Käerjeng,https://www.immotop.lu/annonces/470149/,LOGILUX Immobilier SARL,"Maison individuelle rue des Jardins, Clemency, Käerjeng","€ 2,300/mois","{'chambres/pièces': '3', 'superficie': '180\n m²', 'salle de bain': '1'}"
