,Property,Price_Range,Location,Agency,Unit, Unit_Price (euro) ,Rooms,Area (squared meter),Bathrooms,Stage
64,Appartements-studio et Appartements dans programme neuf à Luxembourg,"€ 495,720 - € 1,687,207",Luxembourg,New Immo,"Appartement 1 chambre neuf, rez-de-chaussée, Hollerich, Luxembourg","873,223.00",1,64,,2
65,Appartements-studio et Appartements dans programme neuf à Luxembourg,"€ 495,720 - € 1,687,207",Luxembourg,New Immo,"Appartement 1 chambre neuf, rez-de-chaussée, Hollerich, Luxembourg","887,818.00",1,64,,3
66,Appartements-studio et Appartements dans programme neuf à Luxembourg,"€ 495,720 - € 1,687,207",Luxembourg,New Immo,Local commercial en Vente,"1,300,769.00",,109,,T
67,Appartements-studio et Appartements dans programme neuf à Luxembourg,"€ 495,720 - € 1,687,207",Luxembourg,New Immo,"Appartement 2 chambres neuf, rez-de-chaussée, Hollerich, Luxembourg","1,411,664.00",2,90,1,4
68,Appartements-studio et Appartements dans programme neuf à Luxembourg,"€ 495,720 - € 1,687,207",Luxembourg,New Immo,"Appartement 2 chambres neuf, rez-de-chaussée, Hollerich, Luxembourg","1,426,285.00",2,101,1,4
69,Appartements-studio et Appartements dans programme neuf à Luxembourg,"€ 495,720 - € 1,687,207",Luxembourg,New Immo,Local commercial en Vente,"1,507,336.00",,145,,T
70,Appartements-studio et Appartements dans programme neuf à Luxembourg,"€ 495,720 - € 1,687,207",Luxembourg,New Immo,"Appartement 2 chambres neuf, rez-de-chaussée, Hollerich, Luxembourg","1,549,888.00",2,116,1,T
71,Appartements-studio et Appartements dans programme neuf à Luxembourg,"€ 495,720 - € 1,687,207",Luxembourg,New Immo,"Appartement 2 chambres neuf, rez-de-chaussée, Hollerich, Luxembourg","1,687,207.00",2,110,1,4
72,Appartements dans programme neuf à Lorentzweiler,"€ 932,095 - € 1,118,929",Lorentzweiler,New Immo,"Appartement 2 chambres neuf, rez-de-chaussée, Lorentzweiler, Lorentzweiler","932,095.00",2,75,,2
73,Appartements dans programme neuf à Lorentzweiler,"€ 932,095 - € 1,118,929",Lorentzweiler,New Immo,"Appartement 2 chambres neuf, rez-de-chaussée, Lorentzweiler, Lorentzweiler","940,878.00",2,75,,2
74,Appartements dans programme neuf à Lorentzweiler,"€ 932,095 - € 1,118,929",Lorentzweiler,New Immo,"Appartement 2 chambres neuf, rez-de-chaussée, Lorentzweiler, Lorentzweiler","970,110.00",2,93,,1
75,Appartements dans programme neuf à Lorentzweiler,"€ 932,095 - € 1,118,929",Lorentzweiler,New Immo,"Appartement 2 chambres neuf, rez-de-chaussée, Lorentzweiler, Lorentzweiler","1,007,108.00",2,97,,2
76,Appartements dans programme neuf à Lorentzweiler,"€ 932,095 - € 1,118,929",Lorentzweiler,New Immo,"Appartement 2 chambres neuf, rez-de-chaussée, Lorentzweiler, Lorentzweiler","1,079,595.00",2,93,,T
77,Appartements dans programme neuf à Lorentzweiler,"€ 932,095 - € 1,118,929",Lorentzweiler,New Immo,"Appartement 2 chambres neuf, rez-de-chaussée, Lorentzweiler, Lorentzweiler","1,118,929.00",2,97,,T
78,Appartements dans programme neuf à Luxembourg,"€ 617,609 - € 1,383,299",Luxembourg,New Immo,"Appartement 1 chambre neuf, rez-de-chaussée, Cessange, Luxembourg","617,609.00",1,41,1,2
79,Appartements dans programme neuf à Luxembourg,"€ 617,609 - € 1,383,299",Luxembourg,New Immo,"Appartement 1 chambre neuf, rez-de-chaussée, Cessange, Luxembourg","720,110.00",1,49,1,2
80,Appartements dans programme neuf à Luxembourg,"€ 617,609 - € 1,383,299",Luxembourg,New Immo,"Appartement 2 chambres neuf, rez-de-chaussée, Cessange, Luxembourg","857,761.00",2,56,1,1
81,Appartements dans programme neuf à Luxembourg,"€ 617,609 - € 1,383,299",Luxembourg,New Immo,"Appartement 1 chambre neuf, rez-de-chaussée, Cessange, Luxembourg","992,926.00",1,68,1,1
82,Appartements dans programme neuf à Luxembourg,"€ 617,609 - € 1,383,299",Luxembourg,New Immo,"Appartement 2 chambres neuf, rez-de-chaussée, Cessange, Luxembourg","1,048,403.00",2,76,1,3
