,property,price_range,location,property_link,agency,unit,unit_price,unit_info
46,Appartements-studio et Appartements dans programme neuf à Luxembourg,"€ 495,720 - € 1,687,207",Luxembourg,https://www.immotop.lu/annonces/144779/57933/,New Immo,"Appartement 2 chambres neuf, rez-de-chaussée, Hollerich, Luxembourg","€ 1,687,207","{'chambres/pièces': '2', 'superficie': '110\n m²', 'salle de bain': '1', 'étage': '4'}"
47,Appartements dans programme neuf à Kehlen,"€ 696,753 - € 976,726",Kehlen,https://www.immotop.lu/annonces/308037/105823/,New Immo,"Appartement 1 chambre neuf, rez-de-chaussée, Kehlen, Kehlen","€ 696,753","{'chambre/pièce': '1', 'superficie': '65\n m²', 'étage': 'T'}"
48,Appartements dans programme neuf à Kehlen,"€ 696,753 - € 976,726",Kehlen,https://www.immotop.lu/annonces/308037/147349/,New Immo,"Appartement 2 chambres neuf, rez-de-chaussée, Kehlen, Kehlen","€ 854,969","{'chambres/pièces': '2', 'superficie': '84\n m²', 'étage': '2'}"
49,Appartements dans programme neuf à Kehlen,"€ 696,753 - € 976,726",Kehlen,https://www.immotop.lu/annonces/308037/105825/,New Immo,"Appartement 2 chambres neuf, rez-de-chaussée, Kehlen, Kehlen","€ 893,697","{'chambres/pièces': '2', 'superficie': '85\n m²', 'étage': '2'}"
50,Appartements dans programme neuf à Kehlen,"€ 696,753 - € 976,726",Kehlen,https://www.immotop.lu/annonces/308037/105831/,New Immo,"Appartement 2 chambres neuf, rez-de-chaussée, Kehlen, Kehlen","€ 928,436","{'chambres/pièces': '2', 'superficie': '91\n m²', 'étage': 'T'}"
51,Appartements dans programme neuf à Kehlen,"€ 696,753 - € 976,726",Kehlen,https://www.immotop.lu/annonces/308037/105833/,New Immo,"Appartement 2 chambres neuf, rez-de-chaussée, Kehlen, Kehlen","€ 953,515","{'chambres/pièces': '2', 'superficie': '95\n m²', 'étage': '1'}"
52,Appartements dans programme neuf à Kehlen,"€ 696,753 - € 976,726",Kehlen,https://www.immotop.lu/annonces/308037/105835/,New Immo,"Appartement 2 chambres neuf, rez-de-chaussée, Kehlen, Kehlen","€ 976,726","{'chambres/pièces': '2', 'superficie': '95\n m²', 'étage': '2'}"
53,Appartements dans programme neuf à Lorentzweiler,"€ 932,095 - € 1,118,929",Lorentzweiler,https://www.immotop.lu/annonces/351793/118361/,New Immo,"Appartement 2 chambres neuf, rez-de-chaussée, Lorentzweiler, Lorentzweiler","€ 932,095","{'chambres/pièces': '2', 'superficie': '75\n m²', 'étage': '2'}"
54,Appartements dans programme neuf à Lorentzweiler,"€ 932,095 - € 1,118,929",Lorentzweiler,https://www.immotop.lu/annonces/351793/118363/,New Immo,"Appartement 2 chambres neuf, rez-de-chaussée, Lorentzweiler, Lorentzweiler","€ 940,878","{'chambres/pièces': '2', 'superficie': '75\n m²', 'étage': '2'}"
55,Appartements dans programme neuf à Lorentzweiler,"€ 932,095 - € 1,118,929",Lorentzweiler,https://www.immotop.lu/annonces/351793/118365/,New Immo,"Appartement 2 chambres neuf, rez-de-chaussée, Lorentzweiler, Lorentzweiler","€ 970,110","{'chambres/pièces': '2', 'superficie': '93\n m²', 'étage': '1'}"
