,0,1
20,https://www.athome.lu/en/buy/house/senningerberg/id-7642246.html,"{'Sale price': '7,500,000 €', 'Type of mandate': 'Exclusive', 'Availability': ""à l'acte"", 'Livable surface': '577 m²', 'Land': '12.72 ares', 'Lift': 'Yes', 'Number of rooms': '20', 'Number of bedrooms': '5', 'Year of construction': '2011', 'Living room': '60 m²', 'Fitted kitchen': 'Yes', 'Open kitchen': 'Yes', 'Bathooms': '2', '': '', 'Terrace': '100 m²', 'Balcony': '30 m²', 'Garden': 'Yes', 'Open parking space': '4', 'Basement': 'Yes', 'Laundry': 'Yes', 'Wine cellar': 'Yes', 'Fireplace': 'Yes', 'Parquet': 'Yes', 'Swimming pool': 'Yes', 'Energy class': 'C', 'Thermal insulation class': 'C', 'Gas heating': 'Yes'}"
21,https://www.athome.lu/en/buy/house/luxembourg/id-7637368.html,"{'Sale price': '1,490,000 €', 'Type of mandate': 'Exclusive', 'Availability': 'To be agreed', 'Livable surface': '222 m²', 'Land': '2.5 ares', ""Property's floor"": '0', 'Number of rooms': '19', 'Number of bedrooms': '6', 'Year of construction': '1957', 'Living room': '46 m²', 'Open kitchen': 'Yes', 'Bathooms': '2', 'Shower room': '1', '': '', 'Terrace': '13 m²', 'Balcony': '8 m²', 'Garden': '120 m²', 'Open parking space': '2', 'Basement': 'Yes', 'Laundry': 'Yes', 'Wine cellar': 'Yes', 'Fireplace': 'Yes', 'Pets accepted': 'Yes', 'Energy class': 'H', 'Thermal insulation class': 'H', 'Gas heating': 'Yes'}"
22,https://www.athome.lu/en/buy/house/senningerberg/id-7617491.html,"{'Sale price': '1,570,000 €', 'Type of mandate': 'Exclusive', 'Availability': 'To be agreed', 'Livable surface': '157 m²', 'Land': '5.87 ares', 'Number of bedrooms': '3', 'Renovated': 'Yes', 'Living room': 'Yes', 'Fitted kitchen': 'Yes', 'Separate kitchen': 'Yes', 'Bathroom': '1', '': '', 'Terrace': 'Yes', 'Balcony': 'Yes', 'Garden': '500 m²', 'Open parking space': '2', 'Basement': 'Yes', 'Laundry': 'Yes', 'Converted attic': 'Yes', 'Parquet': 'Yes', 'Pets accepted': 'Yes', 'Energy class': 'NC', 'Thermal insulation class': 'NC', 'Gas heating': 'Yes'}"
23,https://www.athome.lu/en/buy/house/remich/id-7400387.html,"{'Sale price': '3,995,000 €', 'Availability': 'To be agreed', 'Livable surface': '495 m²', 'Land': '108.7 ares', 'Number of bedrooms': '9', 'Year of construction': '1900', 'Renovated': 'Yes', 'Living room': 'Yes', 'Fitted kitchen': 'Yes', 'Separate kitchen': 'Yes', 'Bathooms': '3', '': '', 'Terrace': '39 m²', 'Balcony': 'Yes', 'Garden': 'Yes', 'Open parking space': '5', 'Basement': 'Yes', 'Laundry': 'Yes', 'Wine cellar': 'Yes', 'Attic': 'Yes', 'Converted attic': 'Yes', 'Fireplace': 'Yes', 'Parquet': 'Yes', 'Energy class': 'G', 'Thermal insulation class': 'G', 'Fuel heating': 'Yes'}"
24,https://www.athome.lu/en/buy/house/hesperange/id-7386069.html,"{'Sale price': '2,438,000 €', 'Type of mandate': 'Exclusive', 'Availability': 'Not communicated', 'Livable surface': '200 m²', 'Land': '5.88 ares', 'Number of bedrooms': '4', 'Renovated': 'Yes', 'Living room': '45 m²', 'Fitted kitchen': 'Yes', 'Open kitchen': 'Yes', 'Bathroom': '1', '': '', 'Terrace': '30 m²', 'Balcony': '20 m²', 'Garden': '100 m²', 'Open parking space': '2', 'Basement': 'Yes', 'Laundry': 'Yes', 'Wine cellar': 'Yes', 'Parquet': 'Yes', 'Energy class': 'E', 'Thermal insulation class': 'E', 'Gas heating': 'Yes', 'Electric heating': 'Yes'}"
25,https://www.athome.lu/en/buy/house/luxembourg/id-7718043.html,"{'Sale price': '2,090,000 €', 'Availability': 'Immediate', 'Livable surface': '225 m²', 'Land': '3.3 ares', 'Number of bedrooms': '7', 'Year of construction': '2005', 'Living room': 'Yes', 'Fitted kitchen': 'Yes', 'Bathroom': '1', 'Shower rooms': '2', '': '', 'Terrace': 'Yes', 'Balcony': 'Yes', 'Garden': 'Yes', 'Open parking space': '2', 'Basement': 'Yes', 'Laundry': 'Yes', 'Wine cellar': 'Yes', 'Attic': 'Yes', 'Parquet': 'Yes', 'Energy class': 'NC', 'Thermal insulation class': 'NC', 'Gas heating': 'Yes'}"
26,https://www.athome.lu/en/buy/house/fentange/id-7709023.html,"{'Sale price': '1,350,000 €', 'Type of mandate': 'Exclusive', 'Availability': 'Août 2023', 'Livable surface': '140 m²', 'Land': '5.45 ares', 'Number of rooms': '10', 'Number of bedrooms': '4', 'Year of construction': '1987', 'Acces for mobility-impared people': 'Yes', 'Living room': '39 m²', 'Fitted kitchen': 'Yes', 'Separate kitchen': 'Yes', 'Bathroom': '1', '': '', 'Terrace': '44 m²', 'Balcony': '15.3 m²', 'Garden': 'Yes', 'Open parking space': 'Yes', 'Basement': 'Yes', 'Laundry': 'Yes', 'Convertible attic': 'Yes', 'Fireplace': 'Yes', 'Pets accepted': 'Yes', 'Energy class': 'G', 'Thermal insulation class': 'H', 'Fuel heating': 'Yes'}"
27,https://www.athome.lu/en/buy/house/bridel/id-7595371.html,"{'Sale price': '1,850,000 €', 'Availability': 'To be agreed', 'Livable surface': '280 m²', 'Land': '2.86 ares', 'Number of bedrooms': '4', 'Year of construction': '2017', 'Living room': 'Yes', 'Fitted kitchen': 'Yes', 'Open kitchen': 'Yes', 'Shower rooms': '3', '': '', 'Terrace': 'Yes', 'Balcony': 'Yes', 'Garden': 'Yes', 'Open parking space': '1', 'Basement': 'Yes', 'Laundry': 'Yes', 'Parquet': 'Yes', 'Pets accepted': 'Yes', 'Swimming pool': 'Yes', 'Energy class': 'B', 'Thermal insulation class': 'B', 'Gas heating': 'Yes'}"
28,https://www.athome.lu/en/buy/house/niederfeulen/id-7542526.html,"{'Sale price': '1,150,000 €', 'Type of mandate': 'Exclusive', 'Availability': 'To be agreed', 'Livable surface': '178 m²', 'Land': '5.78 ares', 'Number of rooms': '15', 'Number of bedrooms': '4', 'Year of construction': '2003', 'Renovated': 'Yes', 'Living room': '40 m²', 'Fitted kitchen': 'Yes', 'Open kitchen': 'Yes', 'Bathroom': '1', '': '', 'Terrace': '20 m²', 'Balcony': 'Yes', 'Garden': 'Yes', 'Open parking space': '3', 'Laundry': 'Yes', 'Attic': 'Yes', 'Convertible attic': 'Yes', 'Parquet': 'Yes', 'Pets accepted': 'Yes', 'Energy class': 'H', 'Thermal insulation class': 'I', 'Gas heating': 'Yes'}"
29,https://www.athome.lu/en/buy/house/reckange-sur-mess/id-7503746.html,"{'Sale price': '1,180,000 €', 'Type of mandate': 'Exclusive', 'Availability': 'Immediate', 'Livable surface': '190 m²', 'Land': '3.71 ares', 'Number of bedrooms': '5', 'Year of construction': '1973', 'Living room': 'Yes', 'Fitted kitchen': 'Yes', 'Separate kitchen': 'Yes', 'Bathroom': '1', '': '', 'Terrace': 'Yes', 'Balcony': 'Yes', 'Garden': 'Yes', 'Open parking space': '2', 'Basement': 'Yes', 'Laundry': 'Yes', 'Convertible attic': 'Yes', 'Fireplace': 'Yes', 'Parquet': 'Yes', 'Energy class': 'NC', 'Thermal insulation class': 'NC', 'Gas heating': 'Yes'}"
