,Property,Price_Range,Location,Link,Agency,Unit,Unit_Price_euro,Unit_Type,Rooms,Area_sqm,Bathrooms,Stage
33,Maisons individuelles et Appartements dans programme neuf à Kehlen,"€ 604,952 - € 1,619,631",Kehlen,https://www.immotop.lu/annonces/146217/58325/,BATINVEST,"Appartement 2 chambres 79 rue de Luxembourg, Kehlen, Kehlen",1174374.0,Appartement,2.0,95.0,1.0,T
34,Maisons individuelles et Appartements dans programme neuf à Kehlen,"€ 604,952 - € 1,619,631",Kehlen,https://www.immotop.lu/annonces/146217/116281/,BATINVEST,"Maison individuelle 79 rue de Luxembourg, Kehlen, Kehlen",1533929.0,Maison individuelle,3.0,132.0,2.0,
35,Maisons individuelles et Appartements dans programme neuf à Kehlen,"€ 604,952 - € 1,619,631",Kehlen,https://www.immotop.lu/annonces/146217/58405/,BATINVEST,"Appartement 3 chambres 79 rue de Luxembourg, Kehlen, Kehlen",1533929.0,Appartement,3.0,132.0,2.0,3
36,Maisons individuelles et Appartements dans programme neuf à Kehlen,"€ 604,952 - € 1,619,631",Kehlen,https://www.immotop.lu/annonces/146217/58377/,BATINVEST,"Appartement 3 chambres 79 rue de Luxembourg, Kehlen, Kehlen",1582103.0,Appartement,3.0,145.0,3.0,1
37,Maisons individuelles et Appartements dans programme neuf à Kehlen,"€ 604,952 - € 1,619,631",Kehlen,https://www.immotop.lu/annonces/146217/58363/,BATINVEST,"Appartement 3 chambres 79 rue de Luxembourg, Kehlen, Kehlen",1586399.0,Appartement,3.0,145.0,3.0,1
38,Maisons individuelles et Appartements dans programme neuf à Kehlen,"€ 604,952 - € 1,619,631",Kehlen,https://www.immotop.lu/annonces/146217/116283/,BATINVEST,"Maison individuelle 79 rue de Luxembourg, Kehlen, Kehlen",1619631.0,Maison individuelle,3.0,141.0,3.0,
39,Maisons individuelles et Appartements dans programme neuf à Kehlen,"€ 604,952 - € 1,619,631",Kehlen,https://www.immotop.lu/annonces/146217/58387/,BATINVEST,"Appartement 3 chambres 79 rue de Luxembourg, Kehlen, Kehlen",1619631.0,Appartement,3.0,141.0,3.0,3
40,Maisons individuelles dans programme neuf à Dippach,"€ 1,170,280 - € 1,928,313",Dippach,https://www.immotop.lu/annonces/513441/167135/,BATINVEST,"Maison individuelle 114 m², neuve, Bettange-sur-Mess, Dippach",1170280.0,Maison individuelle,2.0,114.0,2.0,
41,Maisons individuelles dans programme neuf à Dippach,"€ 1,170,280 - € 1,928,313",Dippach,https://www.immotop.lu/annonces/513441/167137/,BATINVEST,"Maison individuelle 205 m², neuve, Bettange-sur-Mess, Dippach",1346658.0,Maison individuelle,3.0,205.0,2.0,
42,Maisons individuelles dans programme neuf à Dippach,"€ 1,170,280 - € 1,928,313",Dippach,https://www.immotop.lu/annonces/513441/167139/,BATINVEST,"Maison individuelle 205 m², neuve, Bettange-sur-Mess, Dippach",1594675.0,Maison individuelle,4.0,205.0,1.0,
43,Maisons individuelles dans programme neuf à Dippach,"€ 1,170,280 - € 1,928,313",Dippach,https://www.immotop.lu/annonces/513441/167141/,BATINVEST,"Maison individuelle 200 m², neuve, Bettange-sur-Mess, Dippach",1604291.0,Maison individuelle,3.0,200.0,1.0,
44,Maisons individuelles dans programme neuf à Dippach,"€ 1,170,280 - € 1,928,313",Dippach,https://www.immotop.lu/annonces/513441/167143/,BATINVEST,"Maison individuelle 205 m², neuve, Bettange-sur-Mess, Dippach",1606675.0,Maison individuelle,4.0,205.0,1.0,
45,Maisons individuelles dans programme neuf à Dippach,"€ 1,170,280 - € 1,928,313",Dippach,https://www.immotop.lu/annonces/513441/167145/,BATINVEST,"Maison individuelle 205 m², neuve, Bettange-sur-Mess, Dippach",1622185.0,Maison individuelle,3.0,205.0,2.0,
46,Maisons individuelles dans programme neuf à Dippach,"€ 1,170,280 - € 1,928,313",Dippach,https://www.immotop.lu/annonces/513441/167149/,BATINVEST,"Maison individuelle 213 m², neuve, Bettange-sur-Mess, Dippach",1643598.0,Maison individuelle,5.0,213.0,2.0,
47,Maisons individuelles dans programme neuf à Dippach,"€ 1,170,280 - € 1,928,313",Dippach,https://www.immotop.lu/annonces/513441/167151/,BATINVEST,"Maison individuelle 203 m², neuve, Bettange-sur-Mess, Dippach",1723030.0,Maison individuelle,5.0,203.0,2.0,
48,Maisons individuelles dans programme neuf à Dippach,"€ 1,170,280 - € 1,928,313",Dippach,https://www.immotop.lu/annonces/513441/167153/,BATINVEST,"Maison individuelle 210 m², neuve, Bettange-sur-Mess, Dippach",1928313.0,Maison individuelle,5.0,210.0,2.0,
49,Maisons individuelles dans programme neuf à Junglinster,"€ 1,335,772 - € 1,516,774",Junglinster,https://www.immotop.lu/annonces/146231/58337/,BATINVEST,"Maison individuelle 172 m², neuve, Godbrange, Junglinster",1335772.0,Maison individuelle,3.0,172.0,2.0,
50,Maisons individuelles dans programme neuf à Junglinster,"€ 1,335,772 - € 1,516,774",Junglinster,https://www.immotop.lu/annonces/146231/58309/,BATINVEST,"Maison individuelle 178 m², neuve, Godbrange, Junglinster",1355521.0,Maison individuelle,3.0,178.0,2.0,
