,property,price_range,location,property_link,agency,unit,unit_price,unit_type,unit_info
2111,"Maison individuelle 141 m², Bettange-sur-Mess, Dippach","€ 1,155,000",Dippach,https://www.immotop.lu/annonces/470059/,Engel & Völkers Luxembourg,"Maison individuelle 141 m², Bettange-sur-Mess, Dippach","€ 1,155,000",Maison individuelle,"{'chambres/pièces': '4', 'superficie': '141\n m²', 'salle de bain': '1'}"
2112,"Appartement 2 chambres 85 m², Cents, Luxembourg","€ 1,172,000",Luxembourg,https://www.immotop.lu/annonces/474589/,Engel & Völkers Luxembourg,"Appartement 2 chambres 85 m², Cents, Luxembourg","€ 1,172,000",Appartement,"{'chambres/pièces': '2', 'superficie': '85\n m²'}"
2113,"Appartement 1 chambre Ierzewee, Hamm, Luxembourg","€ 610,000",Luxembourg,https://www.immotop.lu/annonces/91281/,Drina Sàrl,"Appartement 1 chambre Ierzewee, Hamm, Luxembourg","€ 610,000",Appartement,"{'chambre/pièce': '1', 'superficie': '51\n m²', 'salle de bain': '1', 'étage': 'T'}"
2114,"Maison individuelle 242, avenue de Luxembourg, Bascharage, Käerjeng","€ 1,780,000",Käerjeng,https://www.immotop.lu/annonces/337403/,Drina Sàrl,"Maison individuelle 242, avenue de Luxembourg, Bascharage, Käerjeng","€ 1,780,000",Maison individuelle,"{'chambres/pièces': '5+', 'superficie': '305\n m²', 'salles de bain': '3+'}"
2115,"Studio à vendre, Ville Haute","€ 600,000",Luxembourg,https://www.immotop.lu/annonces/396749/,CHEZ TOIT IMMOBILIERE,"Studio à vendre, Ville Haute","€ 600,000",Studio,"{'superficie': '33\n m²', 'salle de bain': '1'}"
2116,"Studio à vendre, Limpertsberg","€ 495,000",Luxembourg,https://www.immotop.lu/annonces/467907/,Castel Immobilier,"Studio à vendre, Limpertsberg","€ 495,000",Studio,"{'chambres/pièces': '3', 'superficie': '25\n m²'}"
2117,"Penthouse 104 m² avec terrasse, Gasperich, Luxembourg","€ 1,750,000",Luxembourg,https://www.immotop.lu/annonces/245209/,AXENTO,"Penthouse 104 m² avec terrasse, Gasperich, Luxembourg","€ 1,750,000",Penthouse,"{'chambres/pièces': '3', 'superficie': '104\n m²', 'salles de bain': '2', 'étage': '6'}"
2118,"Penthouse neuf, 82 m², Gasperich, Luxembourg","€ 1,230,000",Luxembourg,https://www.immotop.lu/annonces/245281/,AXENTO,"Penthouse neuf, 82 m², Gasperich, Luxembourg","€ 1,230,000",Penthouse,"{'chambres/pièces': '2', 'superficie': '82\n m²', 'salles de bain': '2', 'étage': '6'}"
2119,"Studio à vendre, Gasperich","€ 395,792",Luxembourg,https://www.immotop.lu/annonces/474123/,AXENTO,"Studio à vendre, Gasperich","€ 395,792",Studio,"{'superficie': '28\n m²', 'salle de bain': '1'}"
2120,"Maison individuelle 15 ceinture um Schlass, Hesperange, Howald, Hesperange","€ 3,289,000",Hesperange,https://www.immotop.lu/annonces/304633/,Living Form Real Estate,"Maison individuelle 15 ceinture um Schlass, Hesperange, Howald, Hesperange","€ 3,289,000",Maison individuelle,"{'chambres/pièces': '5', 'superficie': '320\n m²', 'salles de bain': '3+'}"
2121,"Penthouse 55, rue des Champs, Hesperange, Howald, Hesperange","€ 1,980,000",Hesperange,https://www.immotop.lu/annonces/173183/,Living Form Real Estate,"Penthouse 55, rue des Champs, Hesperange, Howald, Hesperange","€ 1,980,000",Penthouse,"{'chambres/pièces': '3', 'superficie': '170\n m²', 'salle de bain': '1'}"
2122,"Appartement 1 chambre Rue Schetzel 126+128, Weimerskirch, Luxembourg","€ 749,950",Luxembourg,https://www.immotop.lu/annonces/198413/,Pierre & Nature,"Appartement 1 chambre Rue Schetzel 126+128, Weimerskirch, Luxembourg","€ 749,950",Appartement,"{'chambre/pièce': '1', 'superficie': '80\n m²', 'salle de bain': '1', 'étage': 'T'}"
2123,"Appartement 2 chambres Rue Schetzel 126+128, Weimerskirch, Luxembourg","€ 1,199,950",Luxembourg,https://www.immotop.lu/annonces/196207/,Pierre & Nature,"Appartement 2 chambres Rue Schetzel 126+128, Weimerskirch, Luxembourg","€ 1,199,950",Appartement,"{'chambres/pièces': '2', 'superficie': '133\n m²', 'salle de bain': '1', 'étage': 'T'}"
2124,"Appartement 3 chambres Rue Schetzel 126+128, Weimerskirch, Luxembourg","€ 1,449,500",Luxembourg,https://www.immotop.lu/annonces/195139/,Pierre & Nature,"Appartement 3 chambres Rue Schetzel 126+128, Weimerskirch, Luxembourg","€ 1,449,500",Appartement,"{'chambres/pièces': '3', 'superficie': '122\n m²', 'salle de bain': '1', 'étage': 'T'}"
2125,"Appartement 2 chambres Rue Schetzel 126+128, Weimerskirch, Luxembourg","€ 859,950",Luxembourg,https://www.immotop.lu/annonces/195543/,Pierre & Nature,"Appartement 2 chambres Rue Schetzel 126+128, Weimerskirch, Luxembourg","€ 859,950",Appartement,"{'chambres/pièces': '2', 'superficie': '86\n m²', 'salle de bain': '1', 'étage': 'T'}"
2126,"Appartement 3 chambres Rue Schetzel 126+128, Weimerskirch, Luxembourg","€ 1,259,950",Luxembourg,https://www.immotop.lu/annonces/193529/,Pierre & Nature,"Appartement 3 chambres Rue Schetzel 126+128, Weimerskirch, Luxembourg","€ 1,259,950",Appartement,"{'chambres/pièces': '3', 'superficie': '136\n m²', 'salle de bain': '1', 'étage': 'T'}"
2127,"Maison individuelle 300 m², Dommeldange, Luxembourg","€ 2,200,000",Luxembourg,https://www.immotop.lu/annonces/440407/,New Immo,"Maison individuelle 300 m², Dommeldange, Luxembourg","€ 2,200,000",Maison individuelle,"{'chambres/pièces': '5', 'superficie': '300\n m²', 'salle de bain': '1'}"
