,Property,Price_Range,Location,Link,Agency,Unit,Unit_Price_euro,Unit_Type,Rooms,Area_sqm,Bathrooms,Stage
10,"Appartement 3 chambres troisième étage, Wasserbillig, Mertert","€ 2,200/mois",Mertert,https://www.immotop.lu/annonces/469719/,IMMOBILIÈRE BIEWER & SPAUTZ S.À R.L.,"Appartement 3 chambres troisième étage, Wasserbillig, Mertert",2200.0,Appartement,3.0,118.0,1.0,3
11,"Maison individuelle 170 m², Godbrange, Junglinster","€ 2,750/mois",Junglinster,https://www.immotop.lu/annonces/434607/,IMMOBILIÈRE BIEWER & SPAUTZ S.À R.L.,"Maison individuelle 170 m², Godbrange, Junglinster",2750.0,Maison individuelle,4.0,170.0,,
12,"Appartement 2 chambres 21, rue boulevard Grande-Duchesse Charlotte, Belair, Luxembourg","€ 2,250/mois",Luxembourg,https://www.immotop.lu/annonces/465209/,iHome S.à r.l.,"Appartement 2 chambres 21, rue boulevard Grande-Duchesse Charlotte, Belair, Luxembourg",2250.0,Appartement,2.0,90.0,1.0,3
13,"Fermette 33, rue Hiel, Everlange, Useldange","€ 1,980/mois",Useldange,https://www.immotop.lu/annonces/325739/,iHome S.à r.l.,"Fermette 33, rue Hiel, Everlange, Useldange",1980.0,Fermette,4.0,180.0,1.0,
14,"Duplex à louer, Ville Haute","€ 1,750/mois",Luxembourg,https://www.immotop.lu/annonces/471973/,MKA Malou KNAFF Sàrl,"Duplex à louer, Ville Haute",1750.0,Duplex,,,,
15,"Appartement 1 chambre Rue F Seimetz, Limpertsberg, Luxembourg","€ 2,800/mois",Luxembourg,https://www.immotop.lu/annonces/166243/,Prestige Immobilier sàrl,"Appartement 1 chambre Rue F Seimetz, Limpertsberg, Luxembourg",2800.0,Appartement,1.0,90.0,,3
16,"Appartement 2 chambres 179, route de Luxembourg, Al-Esch, Esch-sur-Alzette","€ 1,500/mois",Esch-sur-Alzette,https://www.immotop.lu/annonces/457943/,Gutplus SARL,"Appartement 2 chambres 179, route de Luxembourg, Al-Esch, Esch-sur-Alzette",1500.0,Appartement,2.0,76.0,1.0,2
17,"Studio à louer, Belval","€ 1,050/mois",Esch-sur-Alzette,https://www.immotop.lu/annonces/489773/,Gutplus SARL,"Studio à louer, Belval",1050.0,Studio,,44.0,1.0,
18,"Maison individuelle 198 m², Schouweiler, Dippach","€ 3,300/mois",Dippach,https://www.immotop.lu/annonces/257617/,Agence Immobilière MARAMAX s.à r.l.,"Maison individuelle 198 m², Schouweiler, Dippach",3300.0,Maison individuelle,5.0,198.0,2.0,
19,"Appartement 1 chambre de la Gare, Leudelange, Leudelange","€ 1,700/mois",Leudelange,https://www.immotop.lu/annonces/448837/,Immobilière Glesener s.à r.l.,"Appartement 1 chambre de la Gare, Leudelange, Leudelange",1700.0,Appartement,1.0,65.0,1.0,T
20,"Maison individuelle Rue du Plébiscite, Strassen, Strassen","€ 2,800/mois",Strassen,https://www.immotop.lu/annonces/471871/,Immobilière Glesener s.à r.l.,"Maison individuelle Rue du Plébiscite, Strassen, Strassen",2800.0,Maison individuelle,3.0,140.0,2.0,
21,"Appartement 2 chambres Route de Luxembourg, Imbringen, Junglinster","€ 1,750/mois",Junglinster,https://www.immotop.lu/annonces/485407/,Immobilière Glesener s.à r.l.,"Appartement 2 chambres Route de Luxembourg, Imbringen, Junglinster",1750.0,Appartement,2.0,85.0,,1
22,"Appartement 2 chambres troisième étage, Pétange, Pétange","€ 1,800/mois",Pétange,https://www.immotop.lu/annonces/489057/,IMMO B2,"Appartement 2 chambres troisième étage, Pétange, Pétange",1800.0,Appartement,2.0,99.0,1.0,3
23,"Maison jumelée / mitoyenne 18 rue Plébiscite, Strassen, Strassen","€ 2,900/mois",Strassen,https://www.immotop.lu/annonces/484467/,Multi Business Consultant,"Maison jumelée / mitoyenne 18 rue Plébiscite, Strassen, Strassen",2900.0,Maison jumelée / mitoyenne,3.0,135.0,2.0,
