,property,prop_type,price,location,proj_link,link,agency,Availability,Livable surface,Lift,Number of bedrooms,Renovation year,Living room,Fitted kitchen,Separate kitchen,Shower rooms,Terrace,Garden,Closed parking space,Basement,Laundry,Energy class,Thermal insulation class,Property's floor,Shower room,Restroom,Bathroom,Balcony,Gas heating,Solar panels,Open kitchen,Bathooms,Open parking space,Land,Pump heating,Year of construction,Number of rooms,Acces for mobility-impared people,Monthly charges,Pets accepted,Renovated,Fireplace,Fuel heating,Attic,Parquet,Wine cellar,Swimming pool,Convertible attic,Converted attic,Sauna,Geothermal heating,Electric heating,Social housing,Total floors,Indoor parking space(s),Rent,Security deposit,Furnished,Type of mandate,Life annuity sale,Assisted living facilities,status
7622,Apartment in Luxembourg-Limpertsberg,Apartment,630983 ,Luxembourg-Belair,https://www.athome.lu/en/buy/apartment/luxembourg/id-6885777.html,https://www.athome.lu/en/buy/apartment/luxembourg/id-6885777.html,INOWAI Residential S.A. ,Fin 2023,38.79,,,2020,Yes,Yes,Yes,,,,,,,A,A,2,1,1,1,7 m²,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,newly_added_200
7626,Apartment 1 bedroom in Luxembourg-Belair,Apartment,872824 ,Luxembourg-Limpertsberg,https://www.athome.lu/en/buy/apartment/luxembourg/id-6877158.html,https://www.athome.lu/en/buy/apartment/luxembourg/id-6877158.html,INOWAI Residential S.A. ,,54.63,,1,2019,,,,,,,,,,NC,NC,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,newly_added_200
7627,Apartment in Luxembourg-Limpertsberg,Apartment,622551 ,Luxembourg-Limpertsberg,https://www.athome.lu/en/buy/apartment/luxembourg/id-6885718.html,https://www.athome.lu/en/buy/apartment/luxembourg/id-6885718.html,INOWAI Residential S.A. ,Fin 2023,35.1,,,2015,Yes,Yes,Yes,,,,,,,A,A,6,1,1,1,7 m²,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,newly_added_200
7628,Apartment in Luxembourg-Belair,Apartment,713527 ,Luxembourg-Limpertsberg,https://www.athome.lu/en/buy/apartment/luxembourg/id-6877159.html,https://www.athome.lu/en/buy/apartment/luxembourg/id-6877159.html,INOWAI Residential S.A. ,,46.61,,,2016,,,,,,,,,,NC,NC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,newly_added_200
7629,Apartment in Luxembourg-Centre ville,Apartment,665322 ,Luxembourg-Limpertsberg,https://www.athome.lu/en/buy/apartment/luxembourg/id-6885715.html,https://www.athome.lu/en/buy/apartment/luxembourg/id-6885715.html,INOWAI Residential S.A. ,Fin 2023,38.1,,,2011,Yes,Yes,Yes,,,,,,,A,A,6,1,1,1,7 m²,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,newly_added_200
7630,Apartment 2 bedrooms in Luxembourg-Limpertsberg,Apartment,1518151 ,Luxembourg-Limpertsberg,https://www.athome.lu/en/buy/apartment/luxembourg/id-7006919.html,https://www.athome.lu/en/buy/apartment/luxembourg/id-7006919.html,INOWAI Residential S.A. ,Fin 2023,74.76,,2,2015,Yes,Yes,Yes,2,,,,,,A,A,6,,1,1,4 m²,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,newly_added_200
7631,Apartment in Luxembourg-Limpertsberg,Apartment,602980 ,Luxembourg-Limpertsberg,https://www.athome.lu/en/buy/apartment/luxembourg/id-6885748.html,https://www.athome.lu/en/buy/apartment/luxembourg/id-6885748.html,INOWAI Residential S.A. ,Fin 2023,41.33,,,2020,Yes,Yes,Yes,,,,,,,A,A,1,1,1,1,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,newly_added_200
7632,Apartment in Luxembourg-Limpertsberg,Apartment,623420 ,Bertrange,https://www.athome.lu/en/buy/apartment/luxembourg/id-6885931.html,https://www.athome.lu/en/buy/apartment/luxembourg/id-6885931.html,INOWAI Residential S.A. ,Fin 2023,33.87,,,2019,Yes,Yes,Yes,,,,,,,A,A,5,1,1,1,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,newly_added_200
7633,Apartment 2 bedrooms in Luxembourg-Limpertsberg,Apartment,1344225 ,Luxembourg-Limpertsberg,https://www.athome.lu/en/buy/apartment/luxembourg/id-6885755.html,https://www.athome.lu/en/buy/apartment/luxembourg/id-6885755.html,INOWAI Residential S.A. ,Fin 2023,94.91,,2,,Yes,Yes,Yes,2,9 m²,22 m²,,,,A,A,1,,1,1,4 m²,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,newly_added_200
7634,Apartment 2 bedrooms in Luxembourg-Limpertsberg,Apartment,1403900 ,Luxembourg-Rollingergrund,https://www.athome.lu/en/buy/apartment/luxembourg/id-6885786.html,https://www.athome.lu/en/buy/apartment/luxembourg/id-6885786.html,INOWAI Residential S.A. ,Fin 2023,94.91,,2,,Yes,Yes,Yes,2,9 m²,,,,,A,A,2,,1,1,4 m²,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,newly_added_200
7635,Apartment in Luxembourg-Limpertsberg,Apartment,604717 ,Esch-sur-Alzette,https://www.athome.lu/en/buy/apartment/luxembourg/id-6885807.html,https://www.athome.lu/en/buy/apartment/luxembourg/id-6885807.html,INOWAI Residential S.A. ,Fin 2023,35.1,,,,Yes,Yes,Yes,,,,,,,A,A,4,1,1,1,7 m²,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,newly_added_200
7636,Apartment 3 bedrooms in Bertrange,Apartment,1217812 ,Luxembourg-Belair,https://www.athome.lu/en/buy/apartment/bertrange/id-7071101.html,https://www.athome.lu/en/buy/apartment/bertrange/id-7071101.html,INOWAI Residential S.A. ,T4 2022,94.56,,3,,Yes,Yes,Yes,2,48 m²,,,,,A,B,,,1,,,Yes,,,,,,,2022,,,,,,,,,,,,,,,,,,,,,,,,,,newly_added_200
7637,Apartment 1 bedroom in Luxembourg-Limpertsberg,Apartment,1197750 ,Luxembourg-Limpertsberg,https://www.athome.lu/en/buy/apartment/luxembourg/id-6885928.html,https://www.athome.lu/en/buy/apartment/luxembourg/id-6885928.html,INOWAI Residential S.A. ,Fin 2023,79.43,,1,2019,Yes,,,,,,,,,A,A,4,1,1,1,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,newly_added_200
7638,Apartment 3 bedrooms in Luxembourg-Rollingergrund,Apartment,1212905 ,Luxembourg-Limpertsberg,https://www.athome.lu/en/buy/apartment/luxembourg/id-7137799.html,https://www.athome.lu/en/buy/apartment/luxembourg/id-7137799.html,INOWAI Residential S.A. ,,97.48,,3,2012,Yes,Yes,Yes,2,,,,,,NC,NC,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,newly_added_200
7639,Apartment 1 bedroom in Esch-sur-Alzette,Apartment,503933 ,Luxembourg-Centre ville,https://www.athome.lu/en/buy/apartment/esch-sur-alzette/id-7146095.html,https://www.athome.lu/en/buy/apartment/esch-sur-alzette/id-7146095.html,INOWAI Residential S.A. ,,49.61,,1,2015,Yes,Yes,Yes,,,,,,,NC,NC,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,newly_added_200
7640,Apartment 3 bedrooms in Schifflange,Apartment,775000 ,Bech,https://www.athome.lu/en/buy/apartment/schifflange/id-7679975.html,https://www.athome.lu/en/buy/apartment/schifflange/id-7679975.html,JLM IMMOBILIERE,Immediate,110.0,,3,2014,,,,,,,,,,NC,NC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,newly_added_200
