,property,price_range,location,property_link,agency,unit,unit_price,unit_type,unit_info
16,"Maison individuelle 23, Rue De Wecker, Grevenmacher, Grevenmacher","€ 2,500/mois",Grevenmacher,https://www.immotop.lu/annonces/486013/,iHome S.à r.l.,"Maison individuelle 23, Rue De Wecker, Grevenmacher, Grevenmacher","€ 2,500/mois",Maison individuelle,"{'chambres/pièces': '3', 'superficie': '136\n m²', 'salles de bain': '2'}"
17,"Duplex à louer, Ville Haute","€ 1,750/mois",Luxembourg,https://www.immotop.lu/annonces/471973/,MKA Malou KNAFF Sàrl,"Duplex à louer, Ville Haute","€ 1,750/mois",Duplex,{}
18,"Appartement 2 chambres premier étage, Hesperange, Howald, Hesperange","€ 2,000/mois",Hesperange,https://www.immotop.lu/annonces/486817/,Move In Immobilier Sarl,"Appartement 2 chambres premier étage, Hesperange, Howald, Hesperange","€ 2,000/mois",Appartement,"{'chambres/pièces': '2', 'superficie': '89\n m²', 'étage': '1'}"
19,"Maison individuelle 180 m², Ehlange, Ehlange-sur-Mess, Reckange-sur-Mess","€ 2,500/mois",Reckange-sur-Mess,https://www.immotop.lu/annonces/499227/,N real estate,"Maison individuelle 180 m², Ehlange, Ehlange-sur-Mess, Reckange-sur-Mess","€ 2,500/mois",Maison individuelle,"{'chambres/pièces': '4', 'superficie': '180\n m²', 'salles de bain': '3'}"
20,"Appartement 2 chambres 2, rue Ernest Koch, Belair, Luxembourg","€ 2,300/mois",Luxembourg,https://www.immotop.lu/annonces/83517/,Properties of Luxembourg,"Appartement 2 chambres 2, rue Ernest Koch, Belair, Luxembourg","€ 2,300/mois",Appartement,"{'chambres/pièces': '2', 'superficie': '92\n m²', 'salle de bain': '1', 'étage': '2'}"
21,"Maison individuelle 49, rue Abbé Joseph Flies, Ettelbrück, Ettelbruck","€ 2,900/mois",Ettelbruck,https://www.immotop.lu/annonces/450361/,NEY Immobilière,"Maison individuelle 49, rue Abbé Joseph Flies, Ettelbrück, Ettelbruck","€ 2,900/mois",Maison individuelle,"{'chambres/pièces': '4', 'superficie': '200\n m²'}"
22,"Appartement 2 chambres 95 Av de la Faiencerie, ID9, 1510 Luxembourg, Limpertsberg, Luxembourg","€ 2,790/mois",Luxembourg,https://www.immotop.lu/annonces/494439/,Blueground,"Appartement 2 chambres 95 Av de la Faiencerie, ID9, 1510 Luxembourg, Limpertsberg, Luxembourg","€ 2,790/mois",Appartement,"{'chambres/pièces': '2', 'superficie': '90\n m²', 'salles de bain': '2', 'étage': '1'}"
23,"Appartement 2 chambres 179, route de Luxembourg, Al-Esch, Esch-sur-Alzette","€ 1,500/mois",Esch-sur-Alzette,https://www.immotop.lu/annonces/457943/,Gutplus SARL,"Appartement 2 chambres 179, route de Luxembourg, Al-Esch, Esch-sur-Alzette","€ 1,500/mois",Appartement,"{'chambres/pièces': '2', 'superficie': '76\n m²', 'salle de bain': '1', 'étage': '2'}"
24,"Studio à louer, Belval","€ 1,050/mois",Esch-sur-Alzette,https://www.immotop.lu/annonces/489773/,Gutplus SARL,"Studio à louer, Belval","€ 1,050/mois",Studio,"{'superficie': '44\n m²', 'salle de bain': '1'}"
25,"Maison individuelle Rue du Plébiscite, Strassen, Strassen","€ 2,800/mois",Strassen,https://www.immotop.lu/annonces/471871/,Immobilière Glesener s.à r.l.,"Maison individuelle Rue du Plébiscite, Strassen, Strassen","€ 2,800/mois",Maison individuelle,"{'chambres/pièces': '3', 'superficie': '140\n m²', 'salles de bain': '2'}"
